X,Y,OBJECTID,WINE_RT_NA,INFR_1,icon_url
18.8369309268427,-34.0006181757357,"93",ST7,,
18.8391602966118,-34.0008555084639,"94",ST8,,
18.839452554344,-34.0008558902246,"95",ST9,,
18.8395930675913,-34.0009642570391,"96",ST10,,
18.8446824270053,-33.999925013205,"97",ST11,,
18.8436534963453,-34.0002662912126,"98",ST12,,
18.8396683470384,-34.0012257988581,"99",ST13,,
18.8378109136115,-34.0046221301032,"100",ST14,,
18.8414935238812,-34.0092878350832,"101",ST15,,
18.8423576090568,-34.0103437339837,"102",ST16,,
18.8439771400135,-34.0126987878733,"103",ST17,,
18.844149925681,-34.0129334042721,"104",ST18,,
18.8512083208598,-34.0191987479704,"105",ST19,,
18.8513845488812,-34.0174770436548,"106",ST20,,
18.8362164866269,-34.0006352572418,"107",ST21,,
18.8271635735311,-33.9971429660916,"108",ST22,,
18.8071978742574,-33.9903968961463,"109",ST23,,
18.804589136066,-33.9905640713526,"110",ST24,,
18.8694914535404,-33.9858989587215,"111",ST25,,
18.8716634922521,-33.9880829516051,"112",ST26,,
18.8680129488199,-33.9901976899144,"113",ST27,,
18.8680129488199,-33.9901976899144,"114",ST28,,
18.8682172919375,-33.991036333523,"115",ST29,,
18.8681737907333,-33.9911715166324,"116",ST30,,
18.87075424335,-33.9953212988689,"117",ST31,,
18.8778866834954,-33.9955810136034,"118",ST32,,
18.8872718756067,-34.003000553544,"119",ST33,,
18.8877798517807,-34.00359602789,"120",ST34,,
18.8885148967754,-34.0043900426895,"121",ST35,,
18.8962587781718,-34.0099051634225,"122",ST36,,
18.8979888040913,-34.011628531025,"123",ST37,,
18.8667357057818,-33.9902774510582,"124",ST38,,
18.8656642114794,-33.9902853011619,"125",ST39,,
18.8647546769778,-33.9905367335363,"126",ST40,,
18.8625360073847,-33.9904982135628,"127",ST41,,
18.8484207778132,-33.99159051716,"128",ST42,,
18.8468840306969,-33.9915074764204,"129",ST43,,
18.8471658368582,-33.9912824439482,"130",ST44,,
18.8449034058248,-33.9914959802985,"131",ST45,,
18.8354117796866,-33.9913303889212,"132",ST46,,
18.833971967946,-33.9914997453154,"133",ST47,,
18.8326298064792,-33.991543003423,"134",ST48,,
18.8668425919449,-33.9703176207351,"135",ST49,,
18.8664637335399,-33.9704073636445,"136",ST50,,
18.8600989997592,-33.9651804056167,"137",ST51,,
18.8903134994019,-33.9356586275789,"138",ST52,,
18.8906810862982,-33.935785170042,"139",ST53,,
18.8907783280419,-33.9358663949997,"140",ST54,,
18.8911135597989,-33.93592078421,"141",ST55,,
18.9012083988538,-33.9423843216045,"142",ST56,,
18.908443024639,-33.9542992366601,"143",ST57,,
18.9097622617023,-33.9548862101763,"144",ST58,,
18.8899334849551,-33.936785213451,"145",ST59,,
18.8903983996402,-33.9369298745135,"146",ST60,,
18.8800227605333,-34.1082103722527,"147",ST61,,
18.8811919321101,-34.1091671140983,"148",ST62,,
18.8818633462567,-34.1095644280525,"149",ST63,,
18.8821232256152,-34.1097359654497,"150",ST64,,
18.883606963928,-34.110539728189,"151",ST65,,
18.8839206966346,-34.1109637368267,"152",ST66,,
18.8954696709127,-34.1148325884804,"153",ST67,,
18.8991646707098,-34.1157281761674,"154",ST68,,
18.90185209646,-34.1162892915899,"155",ST69,,
18.9071201609577,-34.1160409645938,"156",ST70,,
18.9074128443836,-34.116014140143,"157",ST71,,
18.9120718204894,-34.1177665004349,"158",ST72,,
18.9253454505569,-34.1228598210331,"159",ST73,,
18.8489200379981,-33.8702599555311,"160",SH40,,
18.8579450093697,-33.8747190208182,"161",SH41,,
18.8587519901844,-33.8752300445502,"162",SH42,,
18.8650229726939,-33.8772919718457,"163",SH43,,
18.8721919609518,-33.8700629721936,"164",SH44,,
18.8586950255085,-33.8752979560099,"165",SH45,,
18.8245520377125,-33.8722820338928,"166",SH46,,
18.8245520377125,-33.8722820338928,"167",SH46a,,
18.8244849996671,-33.8721899805195,"168",SH47,,
18.8516169734434,-33.9345789614068,"169",SH48,,
18.8522879623657,-33.9343489739267,"170",SH49,,
18.8529140370933,-33.9328119667984,"171",SH50,,
18.8417319583624,-33.9423289936624,"172",SH51,,
18.8385739873508,-33.9431079697472,"173",SH52,,
18.8359589745741,-33.943720985159,"174",SH53,,
18.8351419890521,-33.9439840445636,"175",SH54,,
18.8373439702215,-33.9431690078196,"176",SH55,,
18.8524699502784,-33.9336850277777,"177",SH56,,
18.8375439691659,-33.9407250209712,"178",SH57,,
18.8374790388265,-33.9404560062786,"179",SH58,,
18.8375900068016,-33.9392089640663,"180",SH59,,
18.8327620246347,-33.9333460124663,"181",SH60,,
18.8324490464235,-33.9319490117991,"182",SH61,,
18.8462620029163,-33.9407619994514,"183",SH62,,
18.8472089619923,-33.9404870367866,"184",SH63,,
18.7425950046726,-34.022765042303,"185",SH64,,
18.743890018345,-34.0244660376539,"186",SH65,,
18.7451940082,-34.0263689791289,"187",SH66,,
18.7718759901513,-34.0464520442137,"188",SH67,,
18.7731260516109,-34.0464759939347,"189",SH68,,
18.7875809687069,-34.0512950299764,"190",SH69,,
18.7905570323581,-34.0519190309171,"191",SH70,,
18.7904830503993,-34.0520540429405,"192",SH71,,
18.7907169466526,-34.05225097296,"193",SH72,,
18.7910619995607,-34.0525679938711,"194",SH73,,
18.7915970161809,-34.0530679841818,"195",SH74,,
18.792658993426,-34.0536030297795,"196",SH75,,
18.7961810287583,-34.0451899677498,"197",SH76,,
18.8034040120602,-34.0293630387505,"198",SH77,,
18.8078659589712,-34.0282820404813,"199",SH78,,
18.8087760089704,-34.0279099570823,"200",SH79,,
18.8107419599017,-34.0272520000626,"201",SH80,,
18.8107550325713,-34.0272650022213,"202",SH81,,
18.8196689878903,-34.0252569957824,"203",SH82,,
18.819748024311,-34.0250029715984,"204",SH83,,
18.8182619737644,-34.0253000008455,"205",SH84,,
18.8144839778507,-34.0260290129846,"206",SH85,,
18.813883012473,-34.0262929730684,"207",SH86,,
18.8128560063739,-34.0266909706617,"208",SH87,,
18.8102240483959,-34.0276019854316,"209",SH88,,
18.8090249941158,-34.0280309681667,"210",SH89,,
18.8077269587879,-34.0284609563455,"211",SH90,,
18.804479953654,-34.0291900386567,"212",SH91,,
18.7970840293607,-34.0430550330157,"213",SH92,,
18.7967429530871,-34.04398303802,"214",SH93,,
18.746632014933,-34.0283749561527,"215",SH94,,
18.7447050178456,-34.0267720279538,"216",SH95,,
18.740138982506,-34.0242549651591,"217",SH96,,
18.8245669548288,-34.0426990272128,"218",SH97,,
18.8243909461879,-34.0418709971289,"219",SH98,,
18.8240020371855,-34.0388389772015,"220",SH99,,
18.8234739937393,-34.0346099812057,"221",SH100,,
18.8225139804213,-34.0316189628289,"222",SH101,,
18.8206309650134,-34.028726030991,"223",SH102,,
18.8200149654471,-34.0266230438486,"224",SH103,,
18.8205829878213,-34.0164330188814,"225",SH104,,
18.8222859663064,-34.0095260024499,"226",SH105,,
18.822846971743,-34.0074789899579,"227",SH106,,
18.8228689940286,-34.0073519963746,"228",SH107,,
18.8230479880596,-34.0061780128418,"229",SH108,,
18.8255390166197,-33.9981999709136,"230",SH109,,
18.8262090307451,-33.996070964037,"231",SH110,,
18.8265500050738,-33.994940024635,"232",SH111,,
18.8276759902331,-33.9887729717122,"233",SH112,,
18.8283840002852,-33.9878680122814,"234",SH113,,
18.8322560003164,-33.9854699585102,"235",SH114,,
18.8336849999152,-33.9848559715597,"236",SH115,,
18.8348249833292,-33.9842630369044,"237",SH116,,
18.8358240055136,-33.9834659768587,"238",SH117,,
18.8366299609234,-33.9829989740814,"239",SH118,,
18.8432789748624,-33.9711390254605,"240",SH119,,
18.8479440076589,-33.9646070375283,"241",SH120,,
18.8525860263946,-33.9599640062108,"242",SH121,,
18.8551109887648,-33.9560849887191,"243",SH122,,
18.8554029495433,-33.9521410178737,"244",SH123,,
18.8534399882558,-33.9471530136616,"245",SH124,,
18.8531450000723,-33.945385016502,"246",SH125,,
18.8560260308205,-33.9536470446086,"247",SH126,,
18.8559130205542,-33.9546489707376,"248",SH127,,
18.8541980519051,-33.9581459951648,"249",SH128,,
18.851485961356,-33.9621870432393,"250",SH129,,
18.8489970455297,-33.9643919654644,"251",SH130,,
18.8458439765643,-33.9665359642206,"252",SH131,,
18.8445460368807,-33.9692539914127,"253",SH132,,
18.8445460368807,-33.9692539914127,"254",SH132a,,
18.8381109561366,-33.9820920063844,"255",SH133,,
18.8357160442832,-33.9841180012847,"256",SH134,,
18.8339369492149,-33.9852429789879,"257",SH135,,
18.8273490023776,-33.9902860039689,"258",SH136,,
18.8271379681224,-33.9914009918181,"259",SH137,,
18.8270499873437,-33.9922500202001,"260",SH138,,
18.826976042065,-33.9948239664806,"261",SH139,,
18.8269609524284,-33.9948460327569,"262",SH140,,
18.8261770253569,-33.9954170389218,"263",SH141,,
18.8261490312868,-33.9978420254672,"264",SH142,,
18.8245649821526,-34.0028229818393,"265",SH143,,
18.8238580116551,-34.0053989924094,"266",SH144,,
18.8235990015101,-34.0062740056866,"267",SH145,,
18.8223510536321,-34.0107610098012,"268",SH146,,
18.82198102283,-34.012010984154,"269",SH147,,
18.82198102283,-34.012010984154,"270",SH147a,,
18.8214609897239,-34.0138030084968,"271",SH148,,
