X,Y,OBJECTID,TYPE,INFM,INFR_2,INFR_3,icon_url
18.4193217622771,-33.9243660259601,"112",Pedestrian,St. George's Mall,Wale Street,,./0.png
18.4190334158604,-33.9243992132697,"113",Pedestrian,,,,./0.png
18.41939263337,-33.9246822200602,"114",Pedestrian,St. George's Mall,Greenmarket Square,Tourist Info,./0.png
18.4198382358133,-33.9250314360857,"115",Pedestrian,Cultural History,St. George's Mall,Greenmarket Square,./0.png
18.4197965826843,-33.9250624965175,"116",City Map,Cape Town: Find Your Way,,,./0.png
18.419750905161,-33.9251050542324,"117",Interpretation,The Company Garden,,,./0.png
18.4196834534161,-33.9251573791213,"118",Interpretation,Company Garden Kompanjiestuin,,,./0.png
18.4200830132629,-33.9250210729015,"119",Pedestrian,Wale Street,,,./0.png
18.4215699870036,-33.9234175137013,"120",Pedestrian,Adderley Street,Shortmarket Street,,./0.png
18.4218694572615,-33.9234896589648,"121",Pedestrian,Greenmarket Square,Grand Parade,Castle,./0.png
18.4157249497579,-33.9277822793544,"122",Interpretation,The Company Garden,,,./0.png
18.4135549973143,-33.9310731583079,"123",Interpretation,The Company Garden,,,./0.png
18.425198244731,-33.9258236986361,"124",Pedestrian,St. George's Mall,Tourist Info,Company Gardens,./0.png
18.4286664954251,-33.9199654051684,"125",City Map,,,,./0.png
18.4225073184632,-33.9204520413754,"126",Pedestrian,,,,./0.png
18.4219398454355,-33.9200343175771,"127",Pedestrian,,,,./0.png
18.4207045566572,-33.919021507487,"128",Interpretation,,,,./0.png
18.4190634645205,-33.9257688611558,"129",Pedestrian,,,,./0.png
18.4189128331755,-33.9259112520591,"130",Interpretation,,,,./0.png
18.4179008464776,-33.9268403662946,"131",Pedestrian,,,,./0.png
18.4177664392537,-33.9269022777537,"132",Interpretation,,,,./0.png
18.4163112290783,-33.9284931031388,"133",Pedestrian,,,,./0.png
18.414699748019,-33.929874301017,"134",Pedestrian,,,,./0.png
